,ID,Count
0,18288,411.39519166656146
1,18289,328.3148860421158
2,18290,277.8555170329708
3,18291,229.58208707536656
4,18292,193.23993648938284
5,18293,172.98161838965223
6,18294,186.0022118705689
7,18295,215.71343697244743
8,18296,248.407481917231
9,18297,320.9967422608706
10,18298,455.61842017080915
11,18299,505.112759230779
12,18300,510.4642889489322
13,18301,451.4658670561765
14,18302,482.72698874309395
15,18303,476.62975406421435
16,18304,464.4645280382484
17,18305,475.2845608017277
18,18306,486.9818935190027
19,18307,516.7369836185709
20,18308,496.56639551421995
21,18309,463.4921872561249
22,18310,465.1736788342332
23,18311,454.17818607999465
24,18312,392.2069569106835
25,18313,313.0016708299861
26,18314,264.8958203786508
27,18315,218.87395272722128
28,18316,184.22686744852126
29,18317,164.91343487815757
30,18318,177.32672372976987
31,18319,205.65216218735122
32,18320,236.821296238115
33,18321,306.02485884769305
34,18322,434.3675320164683
35,18323,481.5533633053035
36,18324,486.6552877518954
37,18325,430.40866168086154
38,18326,460.2117066721553
39,18327,454.3988583272678
40,18328,442.8010410060534
41,18329,453.11640737347966
42,18330,464.26815479772426
43,18331,492.63541230814656
44,18332,473.4056178434647
45,18333,441.8740520014131
46,18334,443.4771156936482
47,18335,432.99447311485824
48,18336,377.48886219467846
49,18337,301.2558612354034
50,18338,254.955247664397
51,18339,210.66041262971794
52,18340,177.31350592709947
53,18341,158.72483594662154
54,18342,170.67229940213622
55,18343,197.9347876015813
56,18344,227.93425788404153
57,18345,294.54086352682947
58,18346,418.0673048911458
59,18347,463.4824242588238
60,18348,468.3928921136451
61,18349,414.25699650106594
62,18350,442.94164205737184
63,18351,437.34692868179667
64,18352,426.1843350883231
65,18353,436.11260342867223
66,18354,446.8458664993199
67,18355,474.1486044352798
68,18356,455.64043392783185
69,18357,425.2921325955755
70,18358,426.8350391619812
71,18359,416.74577187557236
72,18360,263.0767974543783
73,18361,209.94904784051073
74,18362,177.681560350638
75,18363,146.8119254773216
76,18364,123.57204134052685
77,18365,110.61736040247449
78,18366,118.94369990109277
79,18367,137.9432752645878
80,18368,158.85028831221328
81,18369,205.26928038508294
82,18370,291.3564311585568
83,18371,323.00680645650505
84,18372,326.42897406626844
85,18373,288.70097869633605
86,18374,308.69167364080084
87,18375,304.79264661000485
88,18376,297.01329291786516
89,18377,303.93242961520093
90,18378,311.41257739610455
91,18379,330.44020331377794
92,18380,317.5416234840824
93,18381,296.39150563357754
94,18382,297.46677687708245
95,18383,290.4354379630331
96,18384,261.960856314151
97,18385,209.05846842756424
98,18386,176.92785586216274
99,18387,146.18916638529436
100,18388,123.04786313078688
101,18389,110.14813444073654
102,18390,118.43915457678116
103,18391,137.35813595403292
104,18392,158.17646388687487
105,18393,204.39855200073617
106,18394,290.12053110524243
107,18395,321.6366491967765
108,18396,325.04430037004136
109,18397,287.4763427631463
110,18398,307.3822395075184
111,18399,303.49975169535605
112,18400,295.75339711569393
113,18401,302.6431836408742
114,18402,310.0916015059339
115,18403,329.0385144501796
116,18404,316.1946488941173
117,18405,295.13424738066084
118,18406,296.20495744876314
119,18407,289.203444655607
120,18408,409.83314580705706
